id,Color
1,2
2,1
3,1
4,2
5,3
6,2
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,2
17,2
18,1
19,2
20,2
21,1
22,1
23,2
24,1
25,2
26,1
27,2
28,1
29,2
30,2
31,2
32,2
33,1
34,2
35,3
36,2
37,2
38,3
39,2
40,2
41,1
42,3
43,3
44,2
45,2
46,1
47,3
48,3
49,1
50,1
51,3
52,2
53,1
54,3
55,2
56,3
57,1
58,3
59,1
60,1
61,2
62,2
63,2
64,2
65,1
66,3
67,2
68,2
69,2
70,1
71,3
72,1
73,2
74,1
75,4
76,1
77,2
78,1
79,2
80,2
81,1
82,1
83,3
84,3
85,2
86,2
87,1
88,2
89,1
90,1
91,2
92,1
93,1
94,1
95,1
96,1
97,1
98,2
99,2
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,2
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,2
201,2
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,2
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,1
228,2
229,2
230,1
231,1
232,1
233,1
234,1
235,2
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,2
255,1
256,1
257,1
258,1
259,2
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,3
273,1
274,1
275,2
276,1
277,1
